,STATION,DAY,Entered,Exited,IMPRESSIONS
311,219 ST,13,3684.0,1733.0,5417.0
312,219 ST,14,3519.0,1592.0,5111.0
313,219 ST,15,3511.0,1664.0,5175.0
314,219 ST,16,3490.0,1657.0,5147.0
315,225 ST,10,1697.0,708.0,2405.0
316,225 ST,11,1437.0,818.0,2255.0
317,225 ST,12,3935.0,1541.0,5476.0
318,225 ST,13,4786.0,1924.0,6710.0
319,225 ST,14,4545.0,1911.0,6456.0
320,225 ST,15,4537.0,1913.0,6450.0
321,225 ST,16,4550.0,1804.0,6354.0
322,23 ST,10,49818.0,41524.0,91342.0
323,23 ST,11,49288.0,37037.0,86325.0
324,23 ST,12,117937.0,91615.0,209552.0
325,23 ST,13,137276.0,99918.0,237194.0
326,23 ST,14,143547.0,101999.0,245546.0
327,23 ST,15,140864.0,101180.0,242044.0
328,23 ST,16,132800.0,93035.0,225835.0
329,231 ST,10,5448.0,813.0,6261.0
330,231 ST,11,5090.0,833.0,5923.0
331,231 ST,12,9351.0,1492.0,10843.0
332,231 ST,13,10480.0,1581.0,12061.0
333,231 ST,14,10825.0,1636.0,12461.0
334,231 ST,15,10525.0,1530.0,12055.0
335,231 ST,16,10366.0,1623.0,11989.0
336,233 ST,10,2299.0,703.0,3002.0
337,233 ST,11,1883.0,630.0,2513.0
338,233 ST,12,4949.0,1462.0,6411.0
339,233 ST,13,5656.0,1735.0,7391.0
340,233 ST,14,5481.0,1729.0,7210.0
341,233 ST,15,5495.0,1637.0,7132.0
342,233 ST,16,5578.0,1752.0,7330.0
343,238 ST,10,2501.0,94.0,2595.0
344,238 ST,11,2238.0,74.0,2312.0
345,238 ST,12,4237.0,160.0,4397.0
346,238 ST,13,4787.0,110.0,4897.0
347,238 ST,14,4773.0,87.0,4860.0
348,238 ST,15,4893.0,89.0,4982.0
349,238 ST,16,4860.0,100.0,4960.0
350,25 AV,10,3158.0,762.0,3920.0
351,25 AV,11,2820.0,767.0,3587.0
352,25 AV,12,6238.0,1320.0,7558.0
353,25 AV,13,7399.0,1378.0,8777.0
354,25 AV,14,7424.0,1400.0,8824.0
355,25 AV,15,7405.0,1515.0,8920.0
356,25 AV,16,7353.0,1416.0,8769.0
357,25 ST,10,2097.0,1716.0,3813.0
358,25 ST,11,1939.0,1644.0,3583.0
359,25 ST,12,3581.0,2677.0,6258.0
360,25 ST,13,3911.0,2906.0,6817.0
361,25 ST,14,3996.0,2999.0,6995.0
362,25 ST,15,4105.0,3067.0,7172.0
363,25 ST,16,4067.0,3059.0,7126.0
364,28 ST,10,20546.0,21742.0,42288.0
365,28 ST,11,19486.0,19408.0,38894.0
366,28 ST,12,49404.0,46598.0,96002.0
367,28 ST,13,54648.0,49751.0,104399.0
368,28 ST,14,58474.0,52105.0,110579.0
369,28 ST,15,56948.0,49768.0,106716.0
370,28 ST,16,54957.0,47964.0,102921.0
371,3 AV,10,4805.0,5252.0,10057.0
372,3 AV,11,5577.0,5647.0,11224.0
373,3 AV,12,6306.0,6329.0,12635.0
374,3 AV,13,7257.0,6950.0,14207.0
375,3 AV,14,7324.0,7383.0,14707.0
376,3 AV,15,7450.0,7187.0,14637.0
377,3 AV,16,7915.0,7562.0,15477.0
378,3 AV 138 ST,10,4384.0,2735.0,7119.0
379,3 AV 138 ST,11,3776.0,3055.0,6831.0
380,3 AV 138 ST,12,7123.0,5070.0,12193.0
381,3 AV 138 ST,13,8354.0,5901.0,14255.0
